numberId,streetId,from,until,isOdd
1686321335617o4dhssyv,1686321335617kbpiva1k,501,599,impares
numberId,streetId,from,until,isOdd
1686321342143pb2qestj,1686321342143tsm8qglw,601,699,impares
numberId,streetId,from,until,isOdd
16863213477733nl0kmiz,1686321347773jjs68m7p,701,799,impares
numberId,streetId,from,until,isOdd
1686321352565231imw9f,168632135256527r1wsz6,801,899,impares
numberId,streetId,from,until,isOdd
1686321354881jy5gwcpk,16863213548814e2lpmvf,901,999,impares
numberId,streetId,from,until,isOdd
1686321359107ouzv6oqh,1686321359107sw8l1tju,1001,1099,impares
numberId,streetId,from,until,isOdd
1686321364612udxk8bry,1686321364612u56kk6h7,1101,1199,impares
numberId,streetId,from,until,isOdd
1686321386829k9ece27o,16863213868296ra1gjn1,502,600,pares
numberId,streetId,from,until,isOdd
1686321389807h1tdhq8a,1686321389807fo6om4d2,602,700,pares
numberId,streetId,from,until,isOdd
16863213939380jdkufff,168632139393855hopnwr,702,800,pares
numberId,streetId,from,until,isOdd
16863213984457xju602b,1686321398445q4wsxvzv,802,900,pares
numberId,streetId,from,until,isOdd
1686321402620r5y7t127,1686321402620vcqtt4qd,902,1000,pares
numberId,streetId,from,until,isOdd
168632140743750n9vgcl,1686321407437aujeuped,1002,1100,pares
numberId,streetId,from,until,isOdd
1686321411582918fforo,1686321411582e07hh1zu,1102,1200,pares
numberId,streetId,from,until,isOdd
16863214360342qn4fhhp,1686321436034pijt5g71,1,99,impares
numberId,streetId,from,until,isOdd
1686321440453k6q9hi28,168632144045328e38bmf,101,199,impares
numberId,streetId,from,until,isOdd
16863214447228x3umw4h,1686321444722z6qo09x0,201,299,impares
numberId,streetId,from,until,isOdd
1686321449034ow4ilipn,1686321449034yuctc22m,301,399,impares
numberId,streetId,from,until,isOdd
1686321453292439mqyhq,1686321453292bh6ubs06,401,499,impares
numberId,streetId,from,until,isOdd
1686321457343xr80evcy,1686321457343ttf8ry6w,501,599,impares
numberId,streetId,from,until,isOdd
16863214598189uygs5sd,1686321459818jjoczxay,601,699,impares
numberId,streetId,from,until,isOdd
1686321462312o5ajdqgd,1686321462312x3i3nnd1,701,799,impares
numberId,streetId,from,until,isOdd
16863214664376bz2fr07,1686321466437wxgeipko,801,899,impares
numberId,streetId,from,until,isOdd
1686321470499qs8qk3qy,1686321470499i4e97o32,901,999,impares
numberId,streetId,from,until,isOdd
1686321482756zke94cww,1686321482756a1nh7s4u,2,100,pares
numberId,streetId,from,until,isOdd
1686321487098es71cdvi,168632148709805xkkyyy,102,200,pares
numberId,streetId,from,until,isOdd
1686321492585alsqxfmo,1686321492585x553v5rp,202,300,pares
numberId,streetId,from,until,isOdd
1686321497517tbvjxpv2,1686321497517ss6j97ky,302,400,pares
numberId,streetId,from,until,isOdd
1686321502118ucsslkd9,1686321502118uli1im30,402,500,pares
numberId,streetId,from,until,isOdd
1686321505340xqqihd54,1686321505340q63crqnv,502,600,pares
numberId,streetId,from,until,isOdd
16863215083054x1wrb11,16863215083056kul0o7o,602,700,pares
numberId,streetId,from,until,isOdd
1686321512646rdj0ld7m,1686321512646mmwvkqed,702,800,pares
numberId,streetId,from,until,isOdd
1686321515872aewoq68o,1686321515872cbur0ieu,802,900,pares
numberId,streetId,from,until,isOdd
16863215204213y11p37i,1686321520421wwbfky02,902,1000,pares
numberId,streetId,from,until,isOdd
16863215368170fdwlrge,16863215368172bzkvo6m,201,299,impares
